TurbulenceIntensity(%),Re_theta_Tu,Roughness_k+,Re_theta_k,MachNumber,Re_theta_M,PressureGradient_lambda,Re_theta_lambda
0.1,25118.864315095794,1.0,379.15047368623544,0.1,349.8250874562719,-0.1,420.0
0.14949494949494951,9569.656519876677,3.01010101010101,364.21018571943597,0.1797979797979798,349.4351849607033,-0.09797979797979799,418.58585858585855
0.198989898989899,4817.320311743524,5.02020202020202,349.8586144232521,0.2595959595959596,348.8246343091783,-0.09595959595959597,417.1717171717172
0.2484848484848485,2826.7031963154654,7.030303030303029,336.07256162914575,0.33939393939393936,347.9957490011614,-0.09393939393939395,415.7575757575758
0.297979797979798,1827.896615387984,9.04040404040404,322.8297432840616,0.4191919191919192,346.9516504439492,-0.09191919191919193,414.34343434343435
0.3474747474747475,1264.1080729465318,11.05050505050505,310.10875343003534,0.498989898989899,345.69623878541796,-0.08989898989898991,412.92929292929296
0.396969696969697,918.295267453154,13.060606060606059,297.8890296031727,0.5787878787878787,344.2341568972594,-0.08787878787878789,411.5151515151515
0.44646464646464656,692.6455056902603,15.07070707070707,286.150819596069,0.6585858585858586,342.5707481221449,-0.08585858585858586,410.1010101010101
0.49595959595959604,538.1816501131984,17.08080808080808,274.87514952994405,0.7383838383838384,340.7120084905113,-0.08383838383838385,408.68686868686865
0.5454545454545455,428.330937198667,19.09090909090909,264.0437931848827,0.8181818181818181,338.66453418632545,-0.08181818181818182,407.27272727272725
0.594949494949495,347.7344830211708,21.1010101010101,253.63924253860606,0.897979797979798,336.4354650949247,-0.07979797979797981,405.85858585858585
0.6444444444444445,287.0482067628229,23.11111111111111,243.64467946615258,0.9777777777777777,334.03242529927417,-0.07777777777777778,404.4444444444444
0.693939393939394,240.34124032103756,25.121212121212118,234.0439485547223,1.0575757575757576,331.46346140383446,-0.07575757575757576,403.03030303030306
0.7434343434343434,203.7125159803105,27.131313131313128,224.82153098974243,1.1373737373737374,328.7369795584794,-0.07373737373737374,401.61616161616166
0.792929292929293,174.5168200238962,29.14141414141414,215.96251946994374,1.2171717171717173,325.86168202992064,-0.07171717171717172,400.2020202020202
0.8424242424242425,150.91275431453636,31.15151515151515,207.4525941108985,1.296969696969697,322.8465041267432,-0.0696969696969697,398.7878787878788
0.891919191919192,131.58875514939004,33.16161616161616,199.2779992980715,1.3767676767676769,319.7005522286843,-0.06767676767676768,397.37373737373736
0.9414141414141415,115.59160057947973,35.17171717171717,191.42552145196785,1.4565656565656566,316.4330436037142,-0.06565656565656566,395.95959595959596
0.990909090909091,102.21599235944865,37.18181818181818,183.8824676694374,1.5363636363636364,313.053248620459,-0.06363636363636364,394.5454545454545
1.0404040404040407,90.93166174476293,39.19191919191919,176.63664520661075,1.6161616161616164,309.57043588123815,-0.061616161616161624,393.13131313131316
1.0898989898989901,81.3341626327402,41.2020202020202,169.67634177030263,1.6959595959595961,305.99382071510416,-0.059595959595959605,391.71717171717177
1.1393939393939396,73.1109837932307,43.21212121212121,162.99030658602572,1.7757575757575759,302.3325173832274,-0.05757575757575758,390.3030303030303
1.188888888888889,66.01778609914297,45.22222222222222,156.56773221201257,1.8555555555555556,298.5954952630221,-0.05555555555555556,388.8888888888889
1.2383838383838386,59.86146464135981,47.23232323232323,150.39823706984905,1.9353535353535354,294.79153919450886,-0.05353535353535354,387.47474747474746
1.287878787878788,54.487894148212376,49.242424242424235,144.47184866348243,2.015151515151515,290.9292140942095,-0.05151515151515152,386.06060606060606
1.3373737373737375,49.772940948093556,51.252525252525245,138.7789874594779,2.094949494949495,287.0168338696849,-0.0494949494949495,384.64646464646466
1.386868686868687,45.61578758883195,53.262626262626256,133.3104514024683,2.1747474747474747,283.06243460264255,-0.04747474747474748,383.2323232323232
1.4363636363636367,41.9339174279309,55.272727272727266,128.05740104076642,2.254545454545455,279.0737519110127,-0.04545454545454546,381.8181818181818
1.4858585858585862,38.65930591515191,57.28282828282828,123.0113452380978,2.3343434343434346,275.0582023508983,-0.043434343434343436,380.40404040404036
1.5353535353535357,35.735499421845354,59.29292929292929,118.16412744835698,2.4141414141414144,271.02286867793043,-0.04141414141414142,378.989898989899
1.5848484848484852,33.115354034377205,61.3030303030303,113.50791253120246,2.493939393939394,266.9744887541856,-0.0393939393939394,377.5757575757576
1.6343434343434347,30.75927009155101,63.31313131313131,109.03517408717813,2.573737373737374,262.91944786111173,-0.03737373737373738,376.16161616161617
1.6838383838383841,28.63380265391435,65.32323232323232,104.7386822918899,2.6535353535353536,258.86377416040193,-0.03535353535353536,374.74747474747477
1.7333333333333336,26.710559587305493,67.33333333333333,100.611492209572,2.7333333333333334,254.81313703284258,-0.03333333333333334,373.3333333333333
1.782828282828283,24.96532152786557,69.34343434343434,96.64693256715324,2.813131313131313,250.77284801919717,-0.03131313131313132,371.9191919191919
1.8323232323232326,23.377334360459688,71.35353535353535,92.83859497067681,2.892929292929293,246.74786408644127,-0.0292929292929293,370.50505050505046
1.881818181818182,21.928736816258482,73.36363636363636,89.1803235466437,2.9727272727272727,242.74279294641602,-0.027272727272727282,369.0909090909091
1.9313131313131315,20.60409463699051,75.37373737373737,85.6662049915346,3.0525252525252524,238.76190016149238,-0.025252525252525262,367.6767676767677
1.9808080808080812,19.390019339033813,77.38383838383838,82.29055901342733,3.1323232323232326,234.80911778243978,-0.023232323232323243,366.26262626262627
2.0303030303030307,18.27485455594817,79.39393939393939,79.04792915025871,3.2121212121212124,230.8880542767143,-0.021212121212121224,364.8484848484849
2.07979797979798,17.248416680553216,81.4040404040404,75.93307394988945,3.291919191919192,227.00200552021812,-0.019191919191919204,363.4343434343434
2.1292929292929297,16.3017793806181,83.41414141414141,72.94095849771558,3.371717171717172,223.15396664169072,-0.01717171717171717,362.020202020202
2.178787878787879,15.427093752216258,85.42424242424242,70.06674627813103,3.4515151515151516,219.34664452578622,-0.015151515151515152,360.6060606060606
2.2282828282828286,14.617437566990732,87.43434343434343,67.30579135668673,3.5313131313131314,215.58247079815442,-0.013131313131313133,359.19191919191917
2.277777777777778,13.866688385342574,89.44444444444444,64.65363087030849,3.611111111111111,211.86361513311533,-0.011111111111111113,357.77777777777777
2.3272727272727276,13.169416336757662,91.45454545454545,62.10597781343553,3.690909090909091,208.19199874150763,-0.009090909090909094,356.3636363636363
2.376767676767677,12.520793178131512,93.46464646464646,59.65871410841835,3.7707070707070707,204.5693079127535,-0.007070707070707075,354.949494949495
2.4262626262626266,11.916514881344877,95.47474747474747,57.30788394897527,3.8505050505050504,200.99700750093515,-0.005050505050505055,353.5353535353536
2.475757575757576,11.35273551050236,97.48484848484847,55.04968740594746,3.93030303030303,197.47635425957506,-0.003030303030303036,352.1212121212121
2.5252525252525255,10.826010556079723,99.49494949494948,52.880474285017065,4.01010101010101,194.0084099437546,-0.0010101010101010166,350.7070707070707
2.574747474747475,10.333248219847265,101.50505050505049,50.79673822645976,4.08989898989899,190.5940541111318,0.0010101010101010027,349.2929292929293
2.6242424242424245,9.871667407857984,103.5151515151515,50.0,4.169696969696969,187.233996565289,0.003030303030303022,347.8787878787879
2.673737373737374,9.438761402170506,105.52525252525251,50.0,4.249494949494949,183.92878939565156,0.005050505050505041,346.4646464646465
2.7232323232323234,9.032266355549707,107.53535353535352,50.0,4.3292929292929285,180.67883857798037,0.007070707070707061,345.0505050505051
2.7727272727272734,8.6501338951502,109.54545454545453,50.0,4.409090909090909,177.48441510817747,0.00909090909090908,343.6363636363636
2.822222222222223,8.290507237418554,111.55555555555554,50.0,4.488888888888889,174.3456656499065,0.0111111111111111,342.22222222222223
2.8717171717171723,7.951700312103832,113.56565656565655,50.0,4.568686868686869,171.26262268335705,0.013131313131313133,340.80808080808083
2.921212121212122,7.632179472269248,115.57575757575756,50.0,4.648484848484848,168.23521414844248,0.015151515151515152,339.3939393939394
2.9707070707070713,7.3305474326745115,117.58585858585857,50.0,4.728282828282828,165.2632725808678,0.01717171717171717,337.979797979798
3.0202020202020208,7.045529133346723,119.59595959595958,50.0,4.808080808080808,162.34654374390672,0.01919191919191919,336.5656565656566
3.0696969696969703,6.775959270580853,121.6060606060606,50.0,4.887878787878788,159.4846947624456,0.02121212121212121,335.1515151515151
3.1191919191919197,6.520771275623044,123.6161616161616,50.0,4.9676767676767675,156.67732176895586,0.02323232323232323,333.73737373737373
3.168686868686869,6.27898755319595,125.62626262626262,50.0,5.047474747474747,153.92395707359745,0.02525252525252525,332.32323232323233
3.2181818181818187,6.049710818884228,127.63636363636363,50.0,5.127272727272727,151.22407587270754,0.027272727272727254,330.90909090909093
3.267676767676768,5.83211639707167,129.64646464646464,50.0,5.207070707070707,148.57710251153063,0.029292929292929287,329.49494949494954
3.3171717171717177,5.625445360314125,131.65656565656565,50.0,5.2868686868686865,145.98241631826676,0.03131313131313132,328.0808080808081
3.366666666666667,5.428998407321254,133.66666666666666,50.0,5.366666666666666,143.4393570273901,0.033333333333333326,326.6666666666667
3.4161616161616166,5.24213039057998,135.67676767676767,50.0,5.446464646464646,140.94722981077362,0.03535353535353536,325.25252525252523
3.465656565656566,5.064245416474783,137.68686868686868,50.0,5.526262626262626,138.50530993548432,0.037373737373737365,323.83838383838383
3.5151515151515156,4.894792450868326,139.6969696969697,50.0,5.6060606060606055,136.11284706722614,0.0393939393939394,322.4242424242424
3.564646464646465,4.733261371769125,141.7070707070707,50.0,5.685858585858585,133.76906923833758,0.0414141414141414,321.01010101010104
3.6141414141414145,4.579179418154258,143.7171717171717,50.0,5.765656565656565,131.47318649902775,0.043434343434343436,319.5959595959596
3.663636363636364,4.432107990420983,145.72727272727272,50.0,5.845454545454545,129.2243942701873,0.04545454545454544,318.1818181818182
3.7131313131313135,4.291639763467459,147.73737373737373,50.0,5.9252525252525245,127.0218764156588,0.047474747474747475,316.7676767676768
3.762626262626263,4.157396078180003,149.74747474747474,50.0,6.005050505050504,124.8648080513204,0.04949494949494948,315.35353535353534
3.812121212121213,4.02902458124257,151.75757575757575,50.0,6.084848484848485,122.75235810774252,0.051515151515151514,313.93939393939394
3.8616161616161624,3.906197086775766,153.76767676767676,50.0,6.164646464646465,120.68369166253477,0.05353535353535352,312.52525252525254
3.911111111111112,3.7886076364358376,155.77777777777777,50.0,6.2444444444444445,118.65797205782641,0.05555555555555555,311.1111111111111
3.9606060606060614,3.6759707373250157,157.78787878787878,50.0,6.324242424242424,116.67436281762694,0.05757575757575756,309.6969696969697
4.01010101010101,3.5680197594392165,159.7979797979798,50.0,6.404040404040404,114.73202937910551,0.05959595959595959,308.2828282828283
4.05959595959596,3.4645054764553143,161.8080808080808,50.0,6.483838383838384,112.83014065111578,0.0616161616161616,306.8686868686869
4.109090909090909,3.3651947354785543,163.8181818181818,50.0,6.5636363636363635,110.96787041258561,0.06363636363636363,305.4545454545455
4.158585858585859,3.26986924296577,165.82828282828282,50.0,6.643434343434343,109.14439856269266,0.06565656565656566,304.04040404040404
4.208080808080808,3.1783244554418113,167.83838383838383,50.0,6.723232323232323,107.35891223406188,0.06767676767676767,302.62626262626264
4.257575757575758,3.0903685648601282,169.84848484848484,50.0,6.803030303030303,105.61060677955535,0.0696969696969697,301.2121212121212
4.307070707070707,3.0058215695458776,171.85858585858585,50.0,6.8828282828282825,103.89868664257877,0.07171717171717171,299.7979797979798
4.356565656565657,2.924514422619814,173.86868686868686,50.0,6.962626262626262,102.2223661202058,0.07373737373737374,298.38383838383834
4.406060606060606,2.8462882506499416,175.87878787878788,50.0,7.042424242424242,100.58087002782433,0.07575757575757575,296.969696969697
4.455555555555556,2.770993636029285,177.88888888888889,50.0,7.122222222222222,98.9734342734355,0.07777777777777778,295.55555555555554
4.505050505050505,2.6984899572443695,179.8989898989899,50.0,7.2020202020202015,97.39930634919058,0.07979797979797978,294.14141414141415
4.554545454545455,2.6286447817905145,181.9090909090909,50.0,7.281818181818181,95.85774574723207,0.08181818181818182,292.72727272727275
4.604040404040404,2.5613333070159032,183.91919191919192,50.0,7.361616161616161,94.34802430641201,0.08383838383838382,291.31313131313135
4.653535353535354,2.496437844644554,185.92929292929293,50.0,7.441414141414141,92.86942649599514,0.08585858585858586,289.8989898989899
4.703030303030303,2.433847345145609,187.93939393939394,50.0,7.521212121212121,91.4212496420144,0.08787878787878786,288.4848484848485
4.752525252525253,2.3734569584887746,189.94949494949495,50.0,7.6010101010101,90.00280410153144,0.0898989898989899,287.07070707070704
4.802020202020202,2.3151676281585596,191.95959595959596,50.0,7.68080808080808,88.61341338966541,0.0919191919191919,285.65656565656565
4.851515151515152,2.2588857155976876,193.96969696969694,50.0,7.76060606060606,87.25241426388688,0.09393939393939393,284.24242424242425
4.901010101010101,2.2045226525167654,195.97979797979795,50.0,7.8404040404040405,85.91915676973125,0.09595959595959597,282.8282828282828
4.9505050505050505,2.1519946187464414,197.98989898989896,50.0,7.92020202020202,84.61300425176431,0.09797979797979797,281.41414141414145
5.0,2.101222243523014,200.0,50.0,8.0,83.33333333333333,0.1,280.0
